network,attr,method,lam,nodes (n),clusters (k),groups (h),Q_FNMTF,B_FNMTF
DrugNet,Ethnicity,FairNMF,60,193,2,3,0.432301520213608,0.06936426997856168
DrugNet,Ethnicity,FairNMF,70,193,2,3,0.4096347283160469,0.09321266207523782
DrugNet,Ethnicity,FairNMF,80,193,2,3,0.430671282319634,0.07017979098020924
DrugNet,Ethnicity,FairNMF,90,193,2,3,0.43174468998644816,0.0696399799256966
DrugNet,Ethnicity,FairNMF,100,193,2,3,0.4317849427739537,0.06962837108593943
DrugNet,Ethnicity,FairNMF,0,193,3,3,0.5182367490059797,0.058521554922277626
DrugNet,Ethnicity,FairNMF,0.0001,193,3,3,0.5713301757257802,0.03535353478879707
DrugNet,Ethnicity,FairNMF,0.0005,193,3,3,0.5322849718454113,0.04407879104527302
DrugNet,Ethnicity,FairNMF,0.00075,193,3,3,0.5211908563556914,0.05692488504616644
DrugNet,Ethnicity,FairNMF,0.001,193,3,3,0.5418561902078386,0.044667971689561076
DrugNet,Ethnicity,FairNMF,0.0025,193,3,3,0.524878458944393,0.044093274377389434
DrugNet,Ethnicity,FairNMF,0.005,193,3,3,0.536361684713333,0.04726911052195507
DrugNet,Ethnicity,FairNMF,0.0075,193,3,3,0.513665821358129,0.04755479855492278
DrugNet,Ethnicity,FairNMF,0.01,193,3,3,0.5397786991193585,0.04998294294027122
DrugNet,Ethnicity,FairNMF,0.025,193,3,3,0.5260748612396964,0.05032875461078526
DrugNet,Ethnicity,FairNMF,0.05,193,3,3,0.4992732135589278,0.06534597570398591
DrugNet,Ethnicity,FairNMF,0.075,193,3,3,0.5255627563319871,0.07134663854916289
DrugNet,Ethnicity,FairNMF,0.1,193,3,3,0.5431599332698234,0.061656854980361366
DrugNet,Ethnicity,FairNMF,0.2,193,3,3,0.5136524037622939,0.061803141725721766
DrugNet,Ethnicity,FairNMF,0.3,193,3,3,0.47922956164714403,0.0592673584272782
DrugNet,Ethnicity,FairNMF,0.4,193,3,3,0.4971823048746125,0.05822685914895246
DrugNet,Ethnicity,FairNMF,0.5,193,3,3,0.5008989789209569,0.05945329389284506
DrugNet,Ethnicity,FairNMF,0.6,193,3,3,0.5233600343490453,0.06484762761526097
DrugNet,Ethnicity,FairNMF,0.7,193,3,3,0.49119358460017803,0.06778700871953448
DrugNet,Ethnicity,FairNMF,0.8,193,3,3,0.5156739882014607,0.07152537978390518
DrugNet,Ethnicity,FairNMF,0.9,193,3,3,0.5415252228439041,0.060534274012337054
DrugNet,Ethnicity,FairNMF,1,193,3,3,0.4955565395125834,0.062257810646212414
DrugNet,Ethnicity,FairNMF,1.1,193,3,3,0.4884429774539665,0.06502303306271906
DrugNet,Ethnicity,FairNMF,1.2,193,3,3,0.5253860913201572,0.057691666392935936
DrugNet,Ethnicity,FairNMF,1.3,193,3,3,0.4969676233412497,0.05925847605419136
DrugNet,Ethnicity,FairNMF,1.4,193,3,3,0.5013171606578201,0.05879235231669827
DrugNet,Ethnicity,FairNMF,1.5,193,3,3,0.5329133625836923,0.07423158778155012
DrugNet,Ethnicity,FairNMF,1.6,193,3,3,0.5146654322478499,0.062207425541433076
DrugNet,Ethnicity,FairNMF,1.7,193,3,3,0.49550510539521525,0.061958828042061403
DrugNet,Ethnicity,FairNMF,1.8,193,3,3,0.4977995142830307,0.05549882895950594
DrugNet,Ethnicity,FairNMF,1.9,193,3,3,0.487575306256625,0.06852176162881442
DrugNet,Ethnicity,FairNMF,2,193,3,3,0.49644880963562277,0.07037558780781637
DrugNet,Ethnicity,FairNMF,2.2,193,3,3,0.5063129788404513,0.06864559349561916
DrugNet,Ethnicity,FairNMF,2.4,193,3,3,0.5203433115521027,0.06110781807993453
DrugNet,Ethnicity,FairNMF,2.5,193,3,3,0.5421938663696906,0.06176738931115421
DrugNet,Ethnicity,FairNMF,2.6,193,3,3,0.5184424854754525,0.0583936450491645
DrugNet,Ethnicity,FairNMF,2.8,193,3,3,0.5162285821626481,0.06221887476302348
DrugNet,Ethnicity,FairNMF,3,193,3,3,0.4998680603076207,0.0587340327304659
DrugNet,Ethnicity,FairNMF,3.33,193,3,3,0.4766846909704052,0.06016498066765975
DrugNet,Ethnicity,FairNMF,3.66,193,3,3,0.5420753442731464,0.06442714809578202
DrugNet,Ethnicity,FairNMF,4,193,3,3,0.49031473207297377,0.06468298302055318
DrugNet,Ethnicity,FairNMF,4.33,193,3,3,0.5121026714433308,0.06683067445269486
DrugNet,Ethnicity,FairNMF,4.66,193,3,3,0.482425185721889,0.0647174939307967
DrugNet,Ethnicity,FairNMF,5,193,3,3,0.5237379632984028,0.05717478039069319
DrugNet,Ethnicity,FairNMF,5.33,193,3,3,0.5256097179174102,0.06457666178313737
DrugNet,Ethnicity,FairNMF,5.66,193,3,3,0.5434573566441697,0.05930328426306389
DrugNet,Ethnicity,FairNMF,6,193,3,3,0.47704249352601,0.06084721356241258
DrugNet,Ethnicity,FairNMF,6.5,193,3,3,0.5401029576853752,0.062116005616376764
DrugNet,Ethnicity,FairNMF,7,193,3,3,0.500979484495968,0.0606443200035905
DrugNet,Ethnicity,FairNMF,7.5,193,3,3,0.5405412658159912,0.0569745688500173
DrugNet,Ethnicity,FairNMF,8,193,3,3,0.5234629025837817,0.05690963452200542
DrugNet,Ethnicity,FairNMF,8.5,193,3,3,0.5147146300992455,0.05888650070495353
DrugNet,Ethnicity,FairNMF,9,193,3,3,0.5115033521626928,0.06505640197519907
DrugNet,Ethnicity,FairNMF,10,193,3,3,0.5293554634213974,0.06774017950517917
DrugNet,Ethnicity,FairNMF,15,193,3,3,0.5103964005062905,0.06518006019723192
DrugNet,Ethnicity,FairNMF,20,193,3,3,0.4995661644013292,0.06164033626967635
DrugNet,Ethnicity,FairNMF,30,193,3,3,0.538378796620555,0.06794275052188335
DrugNet,Ethnicity,FairNMF,40,193,3,3,0.5154794330618506,0.061542961005502626
DrugNet,Ethnicity,FairNMF,50,193,3,3,0.5150880865166579,0.06554822122847438
DrugNet,Ethnicity,FairNMF,60,193,3,3,0.5006977149834292,0.05875820663260933
DrugNet,Ethnicity,FairNMF,70,193,3,3,0.49457258248467034,0.06714745652362132
DrugNet,Ethnicity,FairNMF,80,193,3,3,0.5001699562139122,0.06150740060658166
DrugNet,Ethnicity,FairNMF,90,193,3,3,0.4754681622813491,0.06108268013217996
DrugNet,Ethnicity,FairNMF,100,193,3,3,0.4642152719075796,0.062243203481482136
DrugNet,Ethnicity,FairNMF,0,193,4,3,0.5749484540693331,0.05080506549151851
DrugNet,Ethnicity,FairNMF,0.0001,193,4,3,0.5763774280257796,0.05391097288739186
DrugNet,Ethnicity,FairNMF,0.0005,193,4,3,0.5748388770366792,0.047859204917764096
DrugNet,Ethnicity,FairNMF,0.00075,193,4,3,0.5619937652904685,0.0713446453276082
DrugNet,Ethnicity,FairNMF,0.001,193,4,3,0.5904681399186894,0.042753642461034365
DrugNet,Ethnicity,FairNMF,0.0025,193,4,3,0.5535965865636195,0.060406556917058575
DrugNet,Ethnicity,FairNMF,0.005,193,4,3,0.6028704710023391,0.09666072654679181
DrugNet,Ethnicity,FairNMF,0.0075,193,4,3,0.5604596868333132,0.053052066347287374
DrugNet,Ethnicity,FairNMF,0.01,193,4,3,0.5920916690147459,0.03973260330821107
DrugNet,Ethnicity,FairNMF,0.025,193,4,3,0.551340194197337,0.06805967060768546
DrugNet,Ethnicity,FairNMF,0.05,193,4,3,0.5633645963316293,0.05564042576756956
DrugNet,Ethnicity,FairNMF,0.075,193,4,3,0.5901215186929473,0.0409242890902636
DrugNet,Ethnicity,FairNMF,0.1,193,4,3,0.5461140406195351,0.05168454247572011
DrugNet,Ethnicity,FairNMF,0.2,193,4,3,0.5743647886505029,0.04607875085423269
DrugNet,Ethnicity,FairNMF,0.3,193,4,3,0.5774553082245389,0.04814242660624877
DrugNet,Ethnicity,FairNMF,0.4,193,4,3,0.5594310044859495,0.06638802267266697
DrugNet,Ethnicity,FairNMF,0.5,193,4,3,0.5727613859481991,0.05325161812812542
DrugNet,Ethnicity,FairNMF,0.6,193,4,3,0.5717997915800113,0.05641226825956926
DrugNet,Ethnicity,FairNMF,0.7,193,4,3,0.576670378868181,0.05687050504562947
DrugNet,Ethnicity,FairNMF,0.8,193,4,3,0.5506916770653034,0.05446971800578976
DrugNet,Ethnicity,FairNMF,0.9,193,4,3,0.576932021986967,0.05614336994319929
DrugNet,Ethnicity,FairNMF,1,193,4,3,0.577640918300259,0.07718264809798524
DrugNet,Ethnicity,FairNMF,1.1,193,4,3,0.5732332380684029,0.05304199633518084
DrugNet,Ethnicity,FairNMF,1.2,193,4,3,0.5658625054229449,0.05497122642501217
DrugNet,Ethnicity,FairNMF,1.3,193,4,3,0.5643284269657897,0.05397146497661106
DrugNet,Ethnicity,FairNMF,1.4,193,4,3,0.5702344053992405,0.057399835187967506
DrugNet,Ethnicity,FairNMF,1.5,193,4,3,0.5651200651200651,0.06020991070164342
DrugNet,Ethnicity,FairNMF,1.6,193,4,3,0.5743491347886952,0.10170171569241114
DrugNet,Ethnicity,FairNMF,1.7,193,4,3,0.569100618551168,0.07215726407376717
DrugNet,Ethnicity,FairNMF,1.8,193,4,3,0.5851570082339314,0.05107837734371725
DrugNet,Ethnicity,FairNMF,1.9,193,4,3,0.5561750012299463,0.05169081999096878
DrugNet,Ethnicity,FairNMF,2,193,4,3,0.553755361447669,0.05751437597651926
DrugNet,Ethnicity,FairNMF,2.2,193,4,3,0.5150724326548503,0.06664888374366999
DrugNet,Ethnicity,FairNMF,2.4,193,4,3,0.5649366913103177,0.05915585787823376
DrugNet,Ethnicity,FairNMF,2.5,193,4,3,0.5832472370933909,0.05114986989479688
DrugNet,Ethnicity,FairNMF,2.6,193,4,3,0.5528452011968495,0.037141591478825224
DrugNet,Ethnicity,FairNMF,2.8,193,4,3,0.5713614834493955,0.07892604639629631
DrugNet,Ethnicity,FairNMF,3,193,4,3,0.584754480358876,0.053836726223770816
DrugNet,Ethnicity,FairNMF,3.33,193,4,3,0.5717617750584784,0.049323008828991356
DrugNet,Ethnicity,FairNMF,3.66,193,4,3,0.553138152039251,0.06451595983631354
DrugNet,Ethnicity,FairNMF,4,193,4,3,0.5401968808562215,0.058270777095872285
DrugNet,Ethnicity,FairNMF,4.33,193,4,3,0.5724684351057977,0.057724311997883034
DrugNet,Ethnicity,FairNMF,4.66,193,4,3,0.5644268226685809,0.05998741724427196
DrugNet,Ethnicity,FairNMF,5,193,4,3,0.5843631338136833,0.04666994383106465
DrugNet,Ethnicity,FairNMF,5.33,193,4,3,0.5561928913577265,0.049524475564739434
DrugNet,Ethnicity,FairNMF,5.66,193,4,3,0.5823124779168736,0.03778895252974187
DrugNet,Ethnicity,FairNMF,6,193,4,3,0.585063085063085,0.06535330414668622
DrugNet,Ethnicity,FairNMF,6.5,193,4,3,0.5720323632411545,0.059017583779612415
DrugNet,Ethnicity,FairNMF,7,193,4,3,0.5724997428294131,0.058717053281661845
DrugNet,Ethnicity,FairNMF,7.5,193,4,3,0.579908491996404,0.05680519907106283
DrugNet,Ethnicity,FairNMF,8,193,4,3,0.5462817605674749,0.05423851466873347
DrugNet,Ethnicity,FairNMF,8.5,193,4,3,0.5519529310738102,0.05104865274229054
DrugNet,Ethnicity,FairNMF,9,193,4,3,0.5675128697106718,0.06374523221795891
DrugNet,Ethnicity,FairNMF,10,193,4,3,0.5698341137901578,0.055991841261535925
DrugNet,Ethnicity,FairNMF,15,193,4,3,0.5760419881299002,0.04622863364429803
DrugNet,Ethnicity,FairNMF,20,193,4,3,0.5721151050821381,0.055510722928019375
DrugNet,Ethnicity,FairNMF,30,193,4,3,0.5697580807470918,0.08554506832586713
DrugNet,Ethnicity,FairNMF,40,193,4,3,0.5447946436957426,0.08489173713777248
DrugNet,Ethnicity,FairNMF,50,193,4,3,0.539248704083869,0.05773777342983649
DrugNet,Ethnicity,FairNMF,60,193,4,3,0.549761390420731,0.0583917693178016
DrugNet,Ethnicity,FairNMF,70,193,4,3,0.5519842387974255,0.05953264540907449
DrugNet,Ethnicity,FairNMF,80,193,4,3,0.5424130204349985,0.05819977617245895
DrugNet,Ethnicity,FairNMF,90,193,4,3,0.5721128688161655,0.04905480031381657
DrugNet,Ethnicity,FairNMF,100,193,4,3,0.5717595387925059,0.035747573877668117
DrugNet,Ethnicity,FairNMF,0,193,5,3,0.582091087585593,0.039925981731010536
DrugNet,Ethnicity,FairNMF,0.0001,193,5,3,0.5756059162652569,0.049346989247017574
DrugNet,Ethnicity,FairNMF,0.0005,193,5,3,0.6184326459051733,0.034798105085747155
DrugNet,Ethnicity,FairNMF,0.00075,193,5,3,0.6176902056022935,0.039345554813080864
DrugNet,Ethnicity,FairNMF,0.001,193,5,3,0.5993103355740718,0.06511685521797157
DrugNet,Ethnicity,FairNMF,0.0025,193,5,3,0.591349228711866,0.04779171022251776
DrugNet,Ethnicity,FairNMF,0.005,193,5,3,0.6048629839838632,0.031035588258303697
DrugNet,Ethnicity,FairNMF,0.0075,193,5,3,0.6178534530182882,0.08315066174934871
DrugNet,Ethnicity,FairNMF,0.01,193,5,3,0.5904167058013212,0.0719836422162896
DrugNet,Ethnicity,FairNMF,0.025,193,5,3,0.5855192833214811,0.04617731194002491
DrugNet,Ethnicity,FairNMF,0.05,193,5,3,0.5910562778694647,0.048754102490195794
DrugNet,Ethnicity,FairNMF,0.075,193,5,3,0.6217713910021602,0.08052673465588199
DrugNet,Ethnicity,FairNMF,0.1,193,5,3,0.6060034796298532,0.08878967732562114
DrugNet,Ethnicity,FairNMF,0.2,193,5,3,0.6026535532030038,0.06739939600229665
DrugNet,Ethnicity,FairNMF,0.3,193,5,3,0.6080049376752673,0.088985250443754
DrugNet,Ethnicity,FairNMF,0.4,193,5,3,0.5801321185936571,0.037441334331109244
DrugNet,Ethnicity,FairNMF,0.5,193,5,3,0.6016092169938324,0.04053758596479592
DrugNet,Ethnicity,FairNMF,0.6,193,5,3,0.5824801978648133,0.050107540020779384
DrugNet,Ethnicity,FairNMF,0.7,193,5,3,0.6054980835200614,0.05202880895430199
DrugNet,Ethnicity,FairNMF,0.8,193,5,3,0.5893790783900673,0.04303409787877586
DrugNet,Ethnicity,FairNMF,0.9,193,5,3,0.6189581684087179,0.03838902849481591
DrugNet,Ethnicity,FairNMF,1,193,5,3,0.6125691565252004,0.05425074333624772
DrugNet,Ethnicity,FairNMF,1.1,193,5,3,0.6062025073014085,0.05186076966466573
DrugNet,Ethnicity,FairNMF,1.2,193,5,3,0.592500905687719,0.1002760443894518
DrugNet,Ethnicity,FairNMF,1.3,193,5,3,0.5902959474388045,0.056846018288009705
DrugNet,Ethnicity,FairNMF,1.4,193,5,3,0.584421276728969,0.06492702640401743
DrugNet,Ethnicity,FairNMF,1.5,193,5,3,0.5995988138845281,0.04358597907176471
DrugNet,Ethnicity,FairNMF,1.6,193,5,3,0.5933954120767307,0.03526584648759333
DrugNet,Ethnicity,FairNMF,1.7,193,5,3,0.5916958499376083,0.0917110846968774
